01,04,19298.679688,19594.160156,19277.929688,19594.160156
01,05,19602.099609,19615.400391,19473.279297,19520.689453
01,06,19393.550781,19472.369141,19354.439453,19454.330078
01,10,19414.830078,19484.900391,19255.349609,19301.439453
01,11,19358.640625,19402.169922,19325.460938,19364.669922
01,12,19300.189453,19300.189453,19069.019531,19134.699219
01,13,19174.970703,19299.359375,19156.929688,19287.279297
01,16,19219.130859,19255.410156,19061.269531,19095.240234
01,17,19038.449219,19043.910156,18812.859375,18813.529297
01,18,18753.960938,18941.240234,18650.330078,18894.369141
01,19,19082.830078,19122.390625,18982.130859,19072.250000
01,20,19059.150391,19176.859375,19040.199219,19137.910156
01,23,18938.449219,19024.210938,18879.679688,18891.029297
01,24,18817.419922,18915.699219,18783.160156,18787.990234
01,25,19091.230469,19133.179688,18987.449219,19057.500000
01,26,19260.669922,19405.230469,19232.460938,19402.390625
01,27,19453.509766,19486.679688,19404.130859,19467.400391
01,30,19371.279297,19390.970703,19295.800781,19368.849609
01,31,19145.349609,19199.750000,19041.339844,19041.339844
02,01,18926.970703,19155.789063,18916.179688,19148.080078
02,02,19152.789063,19170.630859,18866.800781,18914.580078
02,03,18996.740234,19061.259766,18830.890625,18918.199219
02,06,19069.720703,19075.570313,18899.400391,18976.710938
02,07,18844.119141,18970.580078,18805.320313,18910.779297
02,08,18951.160156,19009.240234,18875.570313,19007.599609
02,09,18942.039063,18991.230469,18874.910156,18907.669922
02,10,19216.740234,19395.990234,19193.570313,19378.929688
02,13,19513.779297,19519.439453,19418.179688,19459.150391
02,14,19478.859375,19501.009766,19232.849609,19238.980469
02,15,19438.810547,19495.619141,19420.000000,19437.980469
02,16,19431.609375,19431.609375,19260.240234,19347.529297
02,17,19228.740234,19275.390625,19173.529297,19234.619141
02,20,19161.330078,19274.750000,19115.109375,19251.080078
02,21,19267.869141,19395.349609,19261.980469,19381.439453
02,22,19419.220703,19419.220703,19329.279297,19379.869141
02,23,19379.919922,19379.919922,19262.630859,19371.460938
02,24,19232.109375,19381.099609,19219.580078,19283.539063
02,27,19130.509766,19178.990234,18995.550781,19107.470703
02,28,19194.679688,19267.990234,19118.990234,19118.990234
03,01,19226.939453,19414.550781,19164.619141,19393.539063
03,02,19624.820313,19668.009766,19564.800781,19564.800781
03,03,19551.339844,19587.789063,19392.750000,19469.169922
03,06,19409.179688,19411.539063,19340.320313,19379.140625
03,07,19337.189453,19375.089844,19317.099609,19344.150391
03,08,19308.529297,19326.400391,19198.779297,19254.029297
03,09,19343.060547,19350.199219,19262.980469,19318.580078
03,10,19444.710938,19623.720703,19427.810547,19604.609375
03,13,19545.740234,19656.480469,19531.509766,19633.750000
03,14,19634.289063,19637.550781,19599.619141,19609.500000
03,15,19528.750000,19581.529297,19503.740234,19577.380859
03,16,19458.699219,19618.990234,19454.169922,19590.140625
03,17,19510.890625,19547.509766,19487.919922,19521.589844
03,21,19510.890625,19547.509766,19337.220703,19455.880859
03,22,19146.619141,19183.269531,19026.529297,19041.380859
03,23,19048.839844,19105.109375,18973.750000,19085.310547
03,24,19066.349609,19296.050781,19060.640625,19262.529297
03,27,19071.189453,19086.890625,18932.089844,18985.589844
03,28,19159.070313,19203.640625,19113.439453,19202.869141
03,29,19216.779297,19251.300781,19164.609375,19217.480469
03,30,19150.820313,19218.080078,19043.480469,19063.220703
03,31,19170.419922,19210.919922,18909.259766,18909.259766
04,03,18988.000000,19068.619141,18920.519531,18983.230469
04,04,18933.820313,18947.330078,18703.630859,18810.250000
04,05,18900.699219,18941.939453,18773.939453,18861.269531
04,06,18754.369141,18797.439453,18532.650391,18597.060547
04,07,18714.980469,18785.730469,18517.429688,18664.630859
04,10,18800.220703,18850.800781,18762.699219,18797.880859
04,11,18717.550781,18767.699219,18661.859375,18747.869141
04,12,18592.099609,18602.500000,18460.589844,18552.609375
04,13,18391.720703,18455.250000,18304.720703,18426.839844
04,14,18531.910156,18531.910156,18285.730469,18335.630859
04,17,18239.839844,18361.439453,18224.679688,18355.259766
04,18,18497.380859,18547.460938,18362.730469,18418.589844
04,19,18327.330078,18467.730469,18327.330078,18432.199219
04,20,18446.390625,18523.400391,18420.820313,18430.490234
04,21,18591.820313,18648.279297,18542.419922,18620.750000
04,24,18890.380859,18910.330078,18840.130859,18875.880859
04,25,18872.560547,19109.759766,18867.189453,19079.330078
04,26,19184.919922,19289.429688,19170.859375,19289.429688
04,27,19205.589844,19281.699219,19199.589844,19251.869141
04,28,19240.650391,19264.570313,19164.679688,19196.740234
05,01,19154.029297,19311.210938,19144.619141,19310.519531
05,02,19335.720703,19464.300781,19335.019531,19445.699219
05,08,19709.009766,19929.480469,19705.130859,19895.699219
05,09,19915.640625,19917.449219,19838.710938,19843.000000
05,10,19890.560547,19938.529297,19866.300781,19900.089844
05,11,19943.949219,19989.939453,19906.349609,19961.550781
05,12,19941.640625,19941.640625,19809.910156,19883.900391
05,15,19753.460938,19869.849609,19740.630859,19869.849609
05,16,19953.060547,19998.490234,19862.410156,19919.820313
05,17,19806.779297,19842.779297,19764.630859,19814.880859
05,18,19556.990234,19601.529297,19449.730469,19553.859375
05,19,19591.410156,19628.640625,19497.289063,19590.759766
05,22,19670.480469,19722.929688,19618.730469,19678.279297
05,23,19647.740234,19693.019531,19585.539063,19613.279297
05,24,19777.560547,19782.810547,19690.099609,19742.980469
05,25,19737.210938,19850.929688,19720.119141,19813.130859
05,26,19798.490234,19801.589844,19686.490234,19686.839844
05,29,19697.179688,19736.619141,19627.189453,19682.570313
05,30,19681.109375,19691.439453,19570.130859,19677.849609
05,31,19630.330078,19673.509766,19589.250000,19650.570313
06,01,19692.160156,19887.660156,19686.320313,19860.029297
06,02,19970.230469,20239.810547,19967.000000,20177.279297
06,05,20135.419922,20224.539063,20104.130859,20170.820313
